block_number,sender,to,amount0,amount1,timestamps
19303221,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2f261A227480b7D1802433d05A92A27BAB645032,433538555,40365786314341558141,1632122104
19305070,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x053c9C827f839535f05c3b03583841718B34146a,5815873,535014245253749370,1632126883
19314327,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xf1D75e75E375d0656BeDAd4c0298F4C4668B3E21,13984492,1302873656889312074,1632148389
19315269,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x735DD9Dd1fEe6454EC033DaC876c50870C44768a,73535756,6994786751432502449,1632150471
19323897,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xc8053186aEd85DD87508542DaA64a1DaE082F6e9,87943080,8562408704151736933,1632171416
19345586,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x36e7d7ae5CFAd0B87f9723c1bAba1a5dF8626215,4179300242,421040813362212330652,1632221117
19362972,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xB7da808659C31d9FBAF398cf4Bf86f380bd2b698,11929779,1359400716407919623,1632262087
19363712,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x47565257EEd238622B0EaBbF0Ed9982C5BB43d8d,99493645,11438538487193468594,1632263872
19363999,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xd1FC5520A2CD7Bf3693120585F7c1597186a375c,27103466,3204382261832618637,1632264533
19369585,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2f261A227480b7D1802433d05A92A27BAB645032,2525843128,336692381284772894691,1632277839
19369632,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xC3E924BA0688dF35FE28A4f9F782139761E9D2E8,29241041,3698992878325225013,1632277937
19375450,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x36dD4a14ea8d546079D7b10EBc9d9f1feAf1698E,566863229,68870810128189515450,1632291425
19376083,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xAeeb3EB6ED1506c01526079fB2439215F906fED4,794201879,97698988921217280949,1632293081
19386957,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE1bEe294f15B72d0A17C7e35E14Cb154bfDC913c,2248112223,300360793915991684783,1632320952
19388999,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xC9788105c38ab26950c4a350117366Ccdf0F0b29,190472577,25718527452444814882,1632325662
19412624,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xC559829041f295BEfe37fd4AFCc7d47a4998d4ef,411757922,47905266535669732347,1632382443
19420078,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x98d23440Cd8DC97F4064657A64bb998748b7708E,23722973,2815752003462477163,1632400433
19458873,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xD26672579911a9C09deDcB0223d16754e14a30D0,1065636432,139193873706834511816,1632487815
19459231,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE1bEe294f15B72d0A17C7e35E14Cb154bfDC913c,2398827461,320768932576114202342,1632488555
19472518,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4718dBB143D3f603b936f8Ced5b11945BC195AF1,29441481,3895215480110448295,1632517601
19486837,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2f261A227480b7D1802433d05A92A27BAB645032,1738510317,241139017568269482623,1632549281
19494134,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x1fF022Bb82c18d14e6F57400C000DF37F6dbCBB6,20949427,2951073333668429681,1632565933
19536473,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x5af52e19DCf7af1bd73Dc19c79542b7952c6b386,41247275,5975471795523905597,1632662032
19579570,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x3b151BA4B7271A1b28403DA7f7C8556F1d732A17,13920209,2236016611810134737,1632760812
19580391,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE1bEe294f15B72d0A17C7e35E14Cb154bfDC913c,2384564201,380832588451746420995,1632762927
19605213,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x47565257EEd238622B0EaBbF0Ed9982C5BB43d8d,90978772,12573950688527690196,1632818177
19614090,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x491E5F26CD9579C9aB8C8f10f9496E3358714f55,18585331,2620055445764134147,1632841750
19635134,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2f261A227480b7D1802433d05A92A27BAB645032,1686683737,242697347978516847363,1632889964
19656879,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2a9118CcC38C6bbBE0162dD4A690Ca94C0360914,47954965,7407681188028645009,1632950473
19662964,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xaE1524F684BD4b5D79003AAA4499590DAB81d999,15054787,2332452068216352609,1632965680
19696002,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xC00Ec5064f48432De8c2B3Ca01C78C8D6C1eabca,76861867,11938774303795368946,1633041217
