block_number,owner,tickLower,tickUpper,amount,amount0,amount1,timestamps
26788191,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7620,-7140,3807434422703990977577,71660831361878290698,28544835618868873566,1649193787
26788458,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7620,-7140,34790440821103588558309,703583533966144605990,237579317194795976120,1649194337
26788508,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7620,-7140,7654977273150495000107,155999999999999999999,51708403239996374891,1649194441
26796826,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7380,-6900,23286232655960357233983,203000000000000000000,289879731130442567323,1649212427
26796964,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7380,-6900,84908558196265922829239,1013000000000000000000,922131827192861852814,1649212711
26797004,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7380,-6900,110121067432122349253016,1520000000000000000000,1094376737046219695692,1649212795
26797049,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7380,-6900,73389895597855223548148,1012999999999999999999,729344496465671415615,1649212885
26797130,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7380,-6900,69221911239518435568688,941999999999999999999,694550173751369819626,1649213055
26797205,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7380,-6900,185378991121497783032,2522712917189105922,1860032584881654503,1649213209
26834626,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7380,-6900,59428041651426383704213,822187916719959643669,589656166488949558505,1649295250
26834650,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7380,-6900,25043360220372502105610,346475293398152389530,248484913404382218532,1649295346
26834959,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7380,-6900,63009016049114410543494,871730755387468788466,625187265562026889840,1649296090
26835000,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7380,-6900,21186329877908894706950,298080013571311721741,207771938053372050322,1649296254
26843557,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-8640,-6180,34946782122992144177,2438861289931315432,1718820044209597701,1649315050
26865033,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7920,-6900,9014558658764540142338,160341300258657914296,238000000000000000000,1649364612
26897425,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-8040,-6720,1638525164252691961321,46237700580080869447,51636836507795753795,1649436149
26927965,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-8040,-6720,76096009139176386623,2140002397613127297,2401717129561869429,1649504752
27007733,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7380,-6780,36719634674800943263061,426311296329685644130,558541028100656960908,1649679279
27007805,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7380,-6780,26849579959343473531082,311720945476354054384,408407984648441914061,1649679427
27007844,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7380,-6780,73396430834621018198870,852125241772956685437,1116430441107328804467,1649679536
27008077,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7380,-6780,13563003939460453902251,157465123026509626556,206306359841815858590,1649680018
27008131,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7380,-6780,45190002605398735980158,524651423209014871551,687383486753810003254,1649680130
27008169,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7380,-6780,90698453560713097248638,1053000000000000000000,1379610879781036527558,1649680206
27049592,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7200,-6540,121419281507612644342911,961000000000000000000,2345154590155949708429,1649770591
27049610,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7200,-6540,64997390748311861942399,162334200386690408320,1437112491058754902515,1649770653
27146856,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7140,-6960,551519686958515132294,4393189440970984567,1310847239998657244,1649982505
27299651,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7680,-6420,3713352568943259932383,29037750729304643292,149270744441517222091,1650318606
27323941,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7380,-7140,131240321227012121448402,1220999999999999999999,501384594324872494289,1650372400
